RndStudent,Gender,Group,Extraversion scale,Neuroticism scale,Lie
1,Male,A,8,10,2
2,female,A,13,10,1
3,Female ,A,1,17,4
4,Female,A,9,19,0
10,female,A,9,5,2
12,Female ,A,6,17,3
14,female,A,3,27,2
23,Male,A,11,12,0
25,Female,A,14,12,1
29,Female,A,10,14,3
31,Female ,A,21,8,3
32,Female,A,13,9,1
33,female,A,4,21,3
38,Female,A,6,17,3
40,Female ,A,11,14,2
42,female,A,13,17,1
6,Female,B,20,0,6
13,Male,B,16,0,7
21,female,B,21,0,7
22,Female,B,23,2,4
26,Male,B,24,8,7
30,male,B,20,3,6
34,Female,B,20,1,5
36,Female,B,20,0,4
37,Male,B,15,3,2
46,female,B,21,1,3
47,Male,B,16,1,7
5,female,B,21,0,5
7,Female,B,14,2,2
8,Female,B,23,2,3
9,Male,B,17,1,7
11,female,B,12,3,6
15,Male,C,20,5,0
16,Male,C,23,5,5
17,female ,C,18,3,6
18,female,C,22,5,6
19,Female,C,18,8,2
20,Female,C,19,2,0
24,Female,C,19,4,1
27,Female,C,17,9,0
28,Male,C,23,3,2
35,Female,C,22,3,3
39,female ,C,14,4,3
41,female,C,10,1,4
43,female,C,18,3,0
44,Female,C,23,9,3
45,Female,C,18,1,1
48,female,C,23,1,3
